stop_id,stop_name,lat,lon,sequences
458,Birchmount Rd at Walkway to River Grove Dr,43.818466,-79.315655,17:19
459,Birchmount Rd at Timberbank Blvd,43.797215,-79.305331,17:28
464,Birchmount Rd at Highway 401 - Walkway North of Rolark,43.771792,-79.294137,17:37
466,Birchmount Rd at Walkway to Ambercroft Blvd,43.813872,-79.313644,17:21
469,Birchmount Rd at Wintermute Blvd,43.816283,-79.314742,17:20
473,Bloor St West at Dufferin St,43.659959,-79.43512,300:73
474,Bloor St West at Indian Rd,43.65548,-79.456725,300:78
475,Bloor St West at Runnymede Rd,43.651237,-79.476129,300:82
476,Bloor St East at Castle Frank Rd,43.674024,-79.368037,300:54
479,Bloor St East at Church St,43.671146,-79.382992,300:58
480,Bloor St East at Jarvis St,43.671706,-79.380383,300:57
483,Bloor St East at Parliament St,43.672194,-79.370653,300:55
485,Bloor St East at Sherbourne St,43.672463,-79.376704,300:56
486,Bloor St East at Yonge St,43.67034,-79.38664,300:59
487,Bloor St West at Aberfoyle Cres,43.64582,-79.51879,300:92
488,Bloor St West at Acorn Ave,43.640219,-79.541945,49:15
490,Bloor St West at Avenue Rd,43.66884,-79.393879,300:61
492,Bloor St West at Bathurst St,43.665214,-79.411078,300:65
499,Bloor St West at Brunswick Ave,43.665998,-79.40732,300:64
500,Bloor St West at Christie St,43.663559,-79.418706,300:68
501,Bloor St West at Clendenan Ave,43.652394,-79.470107,149:16
504,Bloor St West at Dovercourt Rd,43.661237,-79.429285,300:71
507,Bloor St West at Dundas St West,43.656441,-79.452231,168:24|300:77|402:9
509,Bloor St West at Eagle Rd East Side,43.645392,-79.519755,149:5
510,Bloor St West at The East Mall,43.636748,-79.556812,49:11
511,Bloor St West at The East Mall,43.637103,-79.556527,300:102
513,Bloor St West at Forest View Rd East Side,43.632851,-79.572971,49:7
514,Bloor St West at Clendenan Ave,43.652613,-79.469857,300:81
518,Bloor St West at Green Lanes East Side,43.644156,-79.525224,149:3
521,Bloor St West at Havelock St,43.66057,-79.432314,300:72
522,Bloor St West at High Park Ave,43.653658,-79.465101,300:80
523,Bloor St West at Old Mill Trail,43.649585,-79.495066,300:87
524,Bloor St West at Old Mill Trail,43.649571,-79.495659,149:10
526,Bloor St West at Islington Ave West Side,43.64451,-79.524265,300:94
527,Bloor St West at Islington Ave,43.64447,-79.523669,149:4
529,Bloor St West at Jane St,43.649446,-79.484271,300:84
530,Bloor St West at Keele St,43.654837,-79.45974,300:79
533,Bloor St West at The Kingsway,43.649909,-79.499461,149:9
534,Bloor St West at Koos Rd,43.634617,-79.56607,49:9
536,Bloor St West at Lansdowne Ave,43.658441,-79.442571,300:75|402:4
537,Bloor St West at Laurel Ave,43.638305,-79.551291,300:101
539,Bloor St West at Manning Ave,43.66416,-79.415911,300:67
546,Bloor St West at Markland Dr (East) East Side,43.633599,-79.570302,49:8
548,Bloor St West at Martin Grove Rd,43.639772,-79.54493,300:99
550,Bloor St West at Mill Rd East Side,43.632171,-79.574579,49:6
555,Bloor St West at South Kingsway,43.648025,-79.485977,149:12
562,Bloor St West at Ossington Ave,43.662066,-79.425497,300:70
564,Bloor St West at Palmerston Ave,43.66468,-79.413525,300:66
570,Bloor St West at Prince Edward Dr South,43.648508,-79.505687,149:8
577,Bloor St West at Riverview Gardens,43.648688,-79.485483,300:85
579,Bloor St West at Royal York Rd,43.647202,-79.511546,149:7
580,Bloor St West at Runnymede Rd,43.650991,-79.476466,149:15
581,Bloor St West at Shaver Ave South East Side,43.638962,-79.547422,49:13
582,Bloor St West at Shaver Ave North,43.63918,-79.547528,300:100
584,Bloor St West at Shaw St,43.662583,-79.423134,300:69
586,Bloor St West at Spadina Rd,43.666758,-79.403654,300:63
589,Bloor St West at Resurrection Rd,43.642903,-79.53091,149:2
590,3700 Bloor St West at Resurrection Rd,43.643174,-79.530639,300:95
592,Bloor St West at Symington Ave,43.657389,-79.447578,300:76|402:5
594,Bloor St West at Tremont Rd East Side,43.637886,-79.55211,49:12
595,Bloor St West at The West Mall,43.635412,-79.562688,49:10
596,Bloor St West at The West Mall,43.635815,-79.562124,300:103
597,Bloor St West at Wilmar Rd,43.639615,-79.544571,49:14
598,Bloor St West at Windermere Ave,43.65008,-79.480567,149:14
599,Bloor St West at Windermere Ave,43.650327,-79.48028,300:83
605,111 Bridgeland Ave,43.725687,-79.462619,47:44
609,227 Bridgeland Ave,43.724537,-79.467678,47:43
611,55 Bridgeland Ave,43.726343,-79.460272,47:45
614,Bridgeland Ave at Dufferin St,43.727037,-79.457991,47:46
615,Brimley Rd at Applefield Dr (North),43.768438,-79.260929,21:27
616,Brimley Rd at Applefield Dr (South),43.762263,-79.258528,21:29
617,Brimley Rd at Arnprior Rd South Side,43.751152,-79.254486,21:33
621,Brimley Rd at Britwell Ave,43.756125,-79.256188,21:31
622,Brimley Rd at Dallyn Cres,43.741205,-79.25039,21:38
623,Brimley Rd at Dorcot Ave South Side,43.758728,-79.257178,21:30
626,Brimley Rd at Eglinton Ave East,43.736862,-79.248419,21:40
629,Brimley Rd at Ellesmere Rd South Side,43.769639,-79.261388,21:26
631,Brimley Rd at Golden Gate Crt,43.772087,-79.262095,21:25
632,Brimley Rd at Gully Dr South Side,43.743455,-79.251289,21:37
634,Brimley Rd at Largo Lane South Side,43.747098,-79.252804,21:35
639,Brimley Rd at Lawrence Ave East,43.753732,-79.255604,21:32
641,Brimley Rd at Deerfield Rd,43.745579,-79.252159,21:36
643,Brimley Rd at Shediac Rd,43.748931,-79.253566,21:34
645,Brimley Rd at Strode Dr South Side,43.739428,-79.24961,21:39
647,Brimley Rd at Waterfield Dr,43.765319,-79.259711,21:28
649,876 Broadview Ave,43.679749,-79.358155,100:37|322:42|62:25|8:36|87:31
650,Broadview Ave at Bater Ave,43.686963,-79.355778,25:5
